[GIN] 2020/10/19 - 16:42:15 | 200 |     209.602µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:42:15 | 200 |      39.994µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:42:15 | 200 |      98.888µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:42:15 | 200 |      58.726µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:42:15 | 200 |      96.006µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:42:15 | 200 |     123.105µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:42:15 | 200 |      65.545µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:42:15 | 200 |      39.742µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:42:15 | 200 |     296.682µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:42:15 | 200 |     191.786µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:42:15 | 200 |     219.292µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:42:32 | 200 |    3.155215ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:42:32 | 200 |     170.131µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:42:32 | 200 |      58.405µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:42:32 | 200 |      38.707µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:42:32 | 200 |      43.673µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:42:32 | 200 |      95.995µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:42:32 | 200 |     124.235µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:42:32 | 200 |      45.571µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:42:32 | 200 |      68.027µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:42:32 | 200 |     385.401µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:42:32 | 200 |     182.407µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:42:32 | 200 |     232.021µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:44:39 | 200 |    5.737693ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:44:39 | 200 |     202.542µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:44:39 | 200 |      59.913µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:44:39 | 200 |      66.749µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:44:39 | 200 |      53.813µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:44:39 | 200 |     144.582µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:44:39 | 200 |     182.408µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:44:39 | 200 |      59.994µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:44:39 | 200 |      48.264µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:44:39 | 200 |     352.793µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:44:39 | 200 |     164.857µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:44:39 | 200 |     198.003µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:45:15 | 200 |     2.07499ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:45:15 | 200 |     727.259µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:45:17 | 200 |    4.580994ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:45:18 | 200 |     1.04901ms |             ::1 | GET      "/publishPage"
[GIN] 2020/10/19 - 16:45:26 | 200 |     2.18223ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:45:26 | 200 |     230.433µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:45:38 | 200 |     905.243µs |             ::1 | GET      "/publishPage"
[GIN] 2020/10/19 - 16:45:43 | 200 |    9.734504ms |             ::1 | POST     "/publish"
[GIN] 2020/10/19 - 16:45:46 | 200 |     447.563µs |             ::1 | POST     "/removeRequest"
[GIN] 2020/10/19 - 16:45:46 | 200 |    1.453685ms |             ::1 | GET      "/publishPage"
[GIN] 2020/10/19 - 16:45:48 | 200 |     716.297µs |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:45:48 | 200 |     302.549µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:46:18 | 200 |    2.432854ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:46:18 | 200 |     183.997µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:46:46 | 200 |    5.700137ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:46:47 | 200 |     707.562µs |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:46:47 | 200 |     205.877µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:46:48 | 200 |    4.926464ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:47:08 | 200 |    4.510527ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:47:09 | 200 |    1.409108ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:47:09 | 200 |     211.487µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:47:11 | 200 |    5.066888ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:47:57 | 200 |    2.710842ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:48:41 | 200 |    4.770269ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:48:42 | 200 |    3.537767ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:48:43 | 200 |    3.190841ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:48:50 | 200 |    4.674898ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:01 | 200 |    1.130042ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:02 | 200 |    1.379594ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:03 | 200 |    1.239492ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:47 | 200 |    4.815962ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:48 | 200 |    1.575246ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:49 | 200 |    6.564299ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:49:49 | 200 |    4.619645ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:04 | 200 |    1.719735ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:32 | 200 |    1.271864ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:45 | 200 |    1.461121ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:46 | 200 |    1.169776ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:53 | 200 |    1.511925ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:50:54 | 200 |    1.435017ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:52:06 | 200 |    1.599062ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:52:07 | 200 |    1.405912ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:52:07 | 200 |    2.303638ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:52:07 | 200 |     194.788µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:52:08 | 200 |    2.146684ms |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:52:08 | 200 |     211.078µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:52:18 | 200 |    1.720824ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:52:49 | 200 |     686.455µs |             ::1 | GET      "/notificationsPage"
[GIN] 2020/10/19 - 16:52:49 | 200 |     182.957µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:54:11 | 200 |     189.712µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:54:11 | 200 |     174.209µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:54:11 | 200 |     279.651µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:55:07 | 401 |    2.196928ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:55:07 | 200 |     268.387µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:55:07 | 200 |       70.03µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:55:07 | 200 |      92.195µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:55:07 | 200 |      72.822µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:55:07 | 200 |     124.226µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:55:07 | 200 |      35.863µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:55:07 | 200 |      93.145µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:55:07 | 200 |      49.583µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:55:07 | 200 |      57.437µs |             ::1 | GET      "/static/assets/brand/bootstrap-solid.svg"
[GIN] 2020/10/19 - 16:55:07 | 200 |     355.588µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:55:07 | 200 |     159.731µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:55:07 | 200 |     199.775µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:55:10 | 200 |   58.265259ms |             ::1 | POST     "/login"
[GIN] 2020/10/19 - 16:55:10 | 200 |      30.193µs |             ::1 | GET      "/static/assets/dist/css/dashboard.css"
[GIN] 2020/10/19 - 16:55:10 | 200 |     161.026µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css"
[GIN] 2020/10/19 - 16:55:10 | 200 |      35.423µs |             ::1 | GET      "/static/assets/dist/css/slidecontainer.css"
[GIN] 2020/10/19 - 16:55:10 | 200 |      37.105µs |             ::1 | GET      "/static/assets/dist/css/slider.css"
[GIN] 2020/10/19 - 16:55:10 | 200 |     113.803µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js"
[GIN] 2020/10/19 - 16:55:10 | 200 |     105.938µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js"
[GIN] 2020/10/19 - 16:55:10 | 200 |      51.786µs |             ::1 | GET      "/static/assets/dist/js/dashboard.js"
[GIN] 2020/10/19 - 16:55:10 | 200 |      36.292µs |             ::1 | GET      "/static/assets/dist/js/delivery-semantics.js"
[GIN] 2020/10/19 - 16:55:10 | 200 |     467.631µs |             ::1 | GET      "/static/assets/dist/css/bootstrap.min.css.map"
[GIN] 2020/10/19 - 16:55:10 | 200 |     157.184µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.min.js.map"
[GIN] 2020/10/19 - 16:55:10 | 200 |     215.359µs |             ::1 | GET      "/static/assets/dist/js/bootstrap.bundle.min.js.map"
[GIN] 2020/10/19 - 16:55:10 | 200 |     252.122µs |             ::1 | POST     "/notifications"
[GIN] 2020/10/19 - 16:55:54 | 200 |    1.515061ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:55:55 | 200 |    4.799037ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:55:57 | 200 |    6.122197ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:01 | 200 |    2.774496ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:02 | 200 |    5.331679ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:02 | 200 |    4.850227ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:37 | 200 |    1.357039ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:47 | 200 |     2.40071ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:56:58 | 200 |    4.654528ms |             ::1 | GET      "/subscriptionPage"
[GIN] 2020/10/19 - 16:57:10 | 200 |    4.905679ms |             ::1 | GET      "/subscriptionPage"
